"id","usuario","accion","detalle","fecha"
"24","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Circulo.cpp","2025-02-20 19:10:55.000000"
"25","1","estableció_herencia","Relación de herencia creada: 'Circulo' extiende a 'Estudiante' en proyecto 1","2025-02-20 19:18:50.000000"
"26","1","eliminó_herencia","Relación de herencia eliminada entre 'Estudiante' y 'Circulo'","2025-02-20 19:19:23.000000"
"27","1","modificó_herencia","Relación de herencia modificada: 'Circulo' ahora hereda de 'Estudiante' (antes diferente)","2025-02-20 19:26:21.000000"
"28","1","modificó_herencia","Relación de herencia modificada: 'Circulo' ahora hereda de 'Estudiante' (antes diferente)","2025-02-20 19:33:43.000000"
"29","1","eliminó_herencia","Relación de herencia eliminada entre 'Circulo' y 'Estudiante'","2025-02-20 19:35:34.000000"
"30","1","modificó_clase","Clase 'Circulo' modificada: se actualizó el modificador de acceso a 'private'","2025-02-20 19:42:01.000000"
"31","1","creó_método","Método 'void transferir()' agregado a la clase 'Estudiante' en proyecto 1","2025-02-20 19:46:07.000000"
"32","1","modificó_método","Método 'calcularArea()' de clase 'Estudiante': cuerpo actualizado en editor Monaco","2025-02-20 19:49:31.000000"
"33","1","compiló_cpp","Éxito en proyecto 1","2025-02-20 19:52:23.000000"
"34","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Estudiante.cpp","2025-02-20 19:54:12.000000"
"35","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Circulo.cpp","2025-02-20 19:56:32.000000"
"36","1","modificó_método","Error de sintaxis al modificar método en 'Estudiante'","2025-02-20 20:03:32.000000"
"37","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Circulo.cpp","2025-02-20 20:06:54.000000"
"38","1","eliminó_método","Método 'calcularPerimetro()' eliminado de la clase 'Circulo'","2025-02-20 20:08:16.000000"
"39","1","creó_atributo","Atributo 'public char edad' agregado a la clase 'Circulo' en proyecto 1","2025-02-20 20:09:33.000000"
"40","1","creó_clase","Clase 'Pila' creada en el diagrama (cpp). Archivo generado en codigos_fuenteusuario_1proyecto_1Pila.cpp","2025-02-20 20:13:17.000000"
"41","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Estudiante.cpp","2025-02-20 20:14:36.000000"
"42","1","creó_método","Método 'String retirar()' agregado a la clase 'Estudiante' en proyecto 1","2025-02-20 20:18:09.000000"
"43","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Circulo.cpp","2025-02-20 20:25:52.000000"
"44","1","creó_atributo","Atributo 'private int matricula' agregado a la clase 'Estudiante' en proyecto 1","2025-02-20 20:29:18.000000"
"45","1","estableció_herencia","Error: herencia circular detectada entre 'Circulo' y 'Estudiante'","2025-02-20 20:34:57.000000"
"46","1","modificó_clase","Clase 'Estudiante' modificada: se actualizó el modificador de acceso a 'public'","2025-02-20 20:37:42.000000"
"47","1","compiló_cpp","Éxito en proyecto 1","2025-02-20 20:45:05.000000"
"48","1","estableció_herencia","Relación de herencia creada: 'Pila' extiende a 'Circulo' en proyecto 1","2025-02-20 20:45:57.000000"
"49","1","modificó_herencia","Relación de herencia modificada: 'Pila' ahora hereda de 'Circulo' (antes diferente)","2025-02-20 20:52:40.000000"
"50","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Circulo.cpp","2025-02-20 20:57:05.000000"
"51","1","creó_método","Método 'void arrancar()' agregado a la clase 'Estudiante' en proyecto 1","2025-02-20 21:02:09.000000"
"52","1","creó_método","Método 'int obtenerInfo()' agregado a la clase 'Estudiante' en proyecto 1","2025-02-20 21:03:42.000000"
"53","1","modificó_herencia","Error al modificar herencia: clase base 'Circulo' no compatible","2025-02-20 21:07:25.000000"
"54","1","creó_método","Método 'double transferir()' agregado a la clase 'Estudiante' en proyecto 1","2025-02-20 21:08:35.000000"
"55","1","modificó_herencia","Relación de herencia modificada: 'Pila' ahora hereda de 'Circulo' (antes diferente)","2025-02-20 21:13:47.000000"
"56","1","modificó_método","Método 'inicializar()' de clase 'Estudiante': cuerpo actualizado en editor Monaco","2025-02-20 21:16:47.000000"
"57","1","creó_método","Error: firma duplicada al crear método en 'Pila'","2025-02-20 21:24:21.000000"
"58","1","modificó_método","Método 'acelerar()' de clase 'Estudiante': cuerpo actualizado en editor Monaco","2025-02-20 21:30:12.000000"
"59","1","modificó_clase","Clase 'Circulo' modificada: se actualizó el modificador de acceso a 'private'","2025-02-20 21:35:58.000000"
"60","1","estableció_herencia","Relación de herencia creada: 'Circulo' extiende a 'Estudiante' en proyecto 1","2025-02-20 21:43:49.000000"
"61","1","eliminó_herencia","Relación de herencia eliminada entre 'Pila' y 'Circulo'","2025-02-20 21:47:24.000000"
"62","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Pila.cpp","2025-02-20 21:52:49.000000"
"63","1","estableció_herencia","Relación de herencia creada: 'Pila' extiende a 'Estudiante' en proyecto 1","2025-02-20 21:54:57.000000"
"64","1","compiló_cpp","Éxito en proyecto 1","2025-02-20 22:01:27.000000"
"65","1","eliminó_herencia","Relación de herencia eliminada entre 'Circulo' y 'Estudiante'","2025-02-20 22:02:32.000000"
"66","1","creó_atributo","Atributo 'private double color' agregado a la clase 'Pila' en proyecto 1","2025-02-20 22:03:25.000000"
"67","1","eliminó_método","Método 'frenar()' eliminado de la clase 'Estudiante'","2025-02-20 22:09:33.000000"
"68","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Pila.cpp","2025-02-20 22:11:59.000000"
"69","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Circulo.cpp","2025-02-20 22:19:04.000000"
"70","1","compiló_cpp","Éxito en proyecto 1","2025-02-20 22:22:02.000000"
"71","1","estableció_herencia","Relación de herencia creada: 'Circulo' extiende a 'Estudiante' en proyecto 1","2025-02-20 22:23:12.000000"
"72","1","creó_clase","Clase 'Cliente' creada en el diagrama (cpp). Archivo generado en codigos_fuenteusuario_1proyecto_1Cliente.cpp","2025-02-20 22:30:59.000000"
"73","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Pila.cpp","2025-02-20 22:33:28.000000"
"74","1","creó_método","Método 'void obtenerNombre()' agregado a la clase 'Cliente' en proyecto 1","2025-02-20 22:41:21.000000"
"75","1","modificó_herencia","Relación de herencia modificada: 'Pila' ahora hereda de 'Estudiante' (antes diferente)","2025-02-20 22:42:42.000000"
"76","1","creó_método","Método 'void depositar()' agregado a la clase 'Pila' en proyecto 1","2025-02-20 22:46:26.000000"
"77","1","creó_atributo","Error: tipo de dato no reconocido en atributo de 'Pila'","2025-02-20 22:49:18.000000"
"78","1","estableció_herencia","Relación de herencia creada: 'Cliente' extiende a 'Circulo' en proyecto 1","2025-02-20 22:53:40.000000"
"79","1","creó_atributo","Atributo 'public boolean lados' agregado a la clase 'Estudiante' en proyecto 1","2025-02-20 22:59:35.000000"
"80","1","cerró_sesión_inactividad","El sistema cerró la sesión por 10 min sin actividad. Usuario 1 en proyecto 1","2025-02-20 23:07:12.000000"
"81","1","abrió_sesión","Usuario 1 inició sesión y abrió el proyecto 1","2025-03-01 18:51:00.000000"
"82","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Circulo.cpp","2025-03-01 18:55:01.000000"
"83","1","creó_atributo","Atributo 'protected double peso' agregado a la clase 'Circulo' en proyecto 1","2025-03-01 18:55:43.000000"
"84","1","eliminó_clase","Error al eliminar clase 'Pila': tiene dependencias activas","2025-03-01 18:57:44.000000"
"85","1","estableció_herencia","Relación de herencia creada: 'Estudiante' extiende a 'Pila' en proyecto 1","2025-03-01 19:04:31.000000"
"86","1","creó_clase","Clase 'ProductoFisico' creada en el diagrama (cpp). Archivo generado en codigos_fuenteusuario_1proyecto_1ProductoFisico.cpp","2025-03-01 19:07:51.000000"
"87","1","modificó_atributo","Error: tipo incompatible al modificar atributo en 'Pila'","2025-03-01 19:15:01.000000"
"88","1","creó_atributo","Atributo 'public int precio' agregado a la clase 'Estudiante' en proyecto 1","2025-03-01 19:19:01.000000"
"89","1","creó_clase","Clase 'Producto' creada en el diagrama (cpp). Archivo generado en codigos_fuenteusuario_1proyecto_1Producto.cpp","2025-03-01 19:26:21.000000"
"90","1","eliminó_atributo","Atributo 'lados' eliminado de la clase 'Producto'","2025-03-01 19:32:33.000000"
"91","1","modificó_herencia","Relación de herencia modificada: 'Cliente' ahora hereda de 'Circulo' (antes diferente)","2025-03-01 19:40:25.000000"
"92","1","compiló_cpp","Éxito en proyecto 1","2025-03-01 19:47:11.000000"
"93","1","creó_método","Método 'double arrancar()' agregado a la clase 'Pila' en proyecto 1","2025-03-01 19:54:36.000000"
"94","1","creó_atributo","Atributo 'protected char lados' agregado a la clase 'Producto' en proyecto 1","2025-03-01 19:57:13.000000"
"95","1","eliminó_método","Método 'inicializar()' eliminado de la clase 'Producto'","2025-03-01 19:59:59.000000"
"96","1","creó_atributo","Atributo 'private double codigo' agregado a la clase 'Pila' en proyecto 1","2025-03-01 20:01:50.000000"
"97","1","compiló_cpp","Éxito en proyecto 1","2025-03-01 20:09:03.000000"
"98","1","modificó_atributo","Atributo 'saldo' de clase 'Pila' modificado: tipo cambiado a 'boolean'","2025-03-01 20:15:32.000000"
"99","1","compiló_cpp","Fallo en proyecto 1. error: 'velocidad' was not declared in this scope","2025-03-01 20:16:57.000000"
"100","1","creó_método","Método 'void arrancar()' agregado a la clase 'Pila' en proyecto 1","2025-03-01 20:20:42.000000"
"101","1","modificó_método","Método 'consultarSaldo()' de clase 'Circulo': cuerpo actualizado en editor Monaco","2025-03-01 20:28:38.000000"
"102","1","creó_clase","Error al crear clase 'Persona': nombre duplicado en proyecto 1","2025-03-01 20:29:27.000000"
"103","1","compiló_cpp","Éxito en proyecto 1","2025-03-01 20:37:16.000000"
"104","1","estableció_herencia","Relación de herencia creada: 'Circulo' extiende a 'ProductoFisico' en proyecto 1","2025-03-01 20:41:46.000000"
"105","1","creó_método","Método 'void setEdad()' agregado a la clase 'Cliente' en proyecto 1","2025-03-01 20:44:09.000000"
"106","1","compiló_cpp","Éxito en proyecto 1","2025-03-01 20:46:21.000000"
"107","1","creó_método","Método 'void transferir()' agregado a la clase 'Producto' en proyecto 1","2025-03-01 20:53:49.000000"
"108","1","modificó_clase","Clase 'Cliente' modificada: se actualizó el modificador de acceso a 'protected'","2025-03-01 20:58:14.000000"
"109","1","creó_método","Error: firma duplicada al crear método en 'ProductoFisico'","2025-03-01 21:01:43.000000"
"110","1","creó_método","Método 'double obtenerInfo()' agregado a la clase 'Cliente' en proyecto 1","2025-03-01 21:04:49.000000"
"111","1","modificó_atributo","Atributo 'cargo' de clase 'ProductoFisico' modificado: tipo cambiado a 'float'","2025-03-01 21:12:19.000000"
"112","1","eliminó_método","Método 'acelerar()' eliminado de la clase 'Pila'","2025-03-01 21:19:36.000000"
"113","1","cerró_sesión_inactividad","El sistema cerró la sesión por 10 min sin actividad. Usuario 1 en proyecto 1","2025-03-01 21:27:32.000000"
"114","1","abrió_sesión","Usuario 1 inició sesión y abrió el proyecto 1","2025-03-04 20:28:00.000000"
"115","1","creó_método","Método 'double consultarSaldo()' agregado a la clase 'Pila' en proyecto 1","2025-03-04 20:34:35.000000"
"116","1","estableció_herencia","Error: herencia circular detectada entre 'Estudiante' y 'ProductoFisico'","2025-03-04 20:37:31.000000"
"117","1","creó_atributo","Atributo 'protected double radio' agregado a la clase 'ProductoFisico' en proyecto 1","2025-03-04 20:40:01.000000"
"118","1","creó_método","Método 'int getEdad()' agregado a la clase 'Cliente' en proyecto 1","2025-03-04 20:42:50.000000"
"119","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Cliente.cpp","2025-03-04 20:46:11.000000"
"120","1","creó_método","Método 'double getPrecio()' agregado a la clase 'Cliente' en proyecto 1","2025-03-04 20:49:24.000000"
"121","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Producto.cpp","2025-03-04 20:54:30.000000"
"122","1","estableció_herencia","Relación de herencia creada: 'Producto' extiende a 'ProductoFisico' en proyecto 1","2025-03-04 20:55:41.000000"
"123","1","creó_método","Método 'double calcularArea()' agregado a la clase 'Cliente' en proyecto 1","2025-03-04 20:57:21.000000"
"124","1","compiló_cpp","Éxito en proyecto 1","2025-03-04 20:59:08.000000"
"125","1","creó_atributo","Atributo 'protected double descripcion' agregado a la clase 'Pila' en proyecto 1","2025-03-04 21:01:36.000000"
"126","1","eliminó_método","Método 'acelerar()' eliminado de la clase 'Pila'","2025-03-04 21:05:22.000000"
"127","1","modificó_atributo","Atributo 'edad' de clase 'Estudiante' modificado: tipo cambiado a 'double'","2025-03-04 21:11:47.000000"
"128","1","modificó_método","Método 'setEdad()' de clase 'Circulo': cuerpo actualizado en editor Monaco","2025-03-04 21:13:35.000000"
"129","1","eliminó_método","Error al eliminar método: no encontrado en 'Estudiante'","2025-03-04 21:20:06.000000"
"130","1","compiló_cpp","Éxito en proyecto 1","2025-03-04 21:22:25.000000"
"131","1","modificó_clase","Clase 'Circulo' modificada: se actualizó el modificador de acceso a 'protected'","2025-03-04 21:23:27.000000"
"132","1","modificó_atributo","Atributo 'radio' de clase 'Circulo' modificado: tipo cambiado a 'String'","2025-03-04 21:27:29.000000"
"133","1","cerró_sesión_inactividad","El sistema cerró la sesión por 10 min sin actividad. Usuario 1 en proyecto 1","2025-03-04 21:31:27.000000"
"134","1","abrió_sesión","Usuario 1 inició sesión y abrió el proyecto 1","2025-03-11 03:07:00.000000"
"135","1","creó_método","Método 'boolean calcularArea()' agregado a la clase 'Pila' en proyecto 1","2025-03-11 03:10:09.000000"
"136","1","creó_atributo","Atributo 'protected int cargo' agregado a la clase 'Producto' en proyecto 1","2025-03-11 03:11:34.000000"
"137","1","modificó_método","Error de sintaxis al modificar método en 'Pila'","2025-03-11 03:17:00.000000"
"138","1","modificó_clase","Clase 'Producto' modificada: se actualizó el modificador de acceso a 'protected'","2025-03-11 03:17:43.000000"
"139","1","guardó_código","Archivo: codigos_fuenteusuario_1proyecto_1Producto.cpp","2025-03-11 03:20:52.000000"
"140","1","compiló_cpp","Éxito en proyecto 1","2025-03-11 03:26:16.000000"
"141","1","creó_método","Método 'void transferir()' agregado a la clase 'Producto' en proyecto 1","2025-03-11 03:32:32.000000"
"142","1","estableció_herencia","Relación de herencia creada: 'ProductoFisico' extiende a 'Circulo' en proyecto 1","2025-03-11 03:36:14.000000"
"143","1","creó_atributo","Atributo 'protected String descripcion' agregado a la clase 'Producto' en proyecto 1","2025-03-11 03:40:07.000000"
"144","1","creó_atributo","Atributo 'public boolean precio' agregado a la clase 'Circulo' en proyecto 1","2025-03-11 03:46:43.000000"
"145","1","creó_método","Método 'void consultarSaldo()' agregado a la clase 'Pila' en proyecto 1","2025-03-11 03:48:54.000000"
"146","1","eliminó_atributo","Atributo 'tasa' eliminado de la clase 'Circulo'","2025-03-11 03:50:02.000000"
"147","1","modificó_atributo","Atributo 'salario' de clase 'Producto' modificado: tipo cambiado a 'int'","2025-03-11 03:55:35.000000"
"148","1","creó_atributo","Atributo 'public double tasa' agregado a la clase 'Estudiante' en proyecto 1","2025-03-11 04:01:58.000000"
"149","1","creó_atributo","Atributo 'public float radio' agregado a la clase 'ProductoFisico' en proyecto 1","2025-03-11 04:09:33.000000"
"150","1","creó_atributo","Atributo 'protected double precio' agregado a la clase 'ProductoFisico' en proyecto 1","2025-03-11 04:15:24.000000"
"151","1","modificó_clase","Clase 'Circulo' modificada: se actualizó el modificador de acceso a 'public'","2025-03-11 04:17:58.000000"
"152","1","creó_método","Método 'int retirar()' agregado a la clase 'Producto' en proyecto 1","2025-03-11 04:19:20.000000"
"153","1","eliminó_atributo","Atributo 'marca' eliminado de la clase 'Circulo'","2025-03-11 04:25:46.000000"
"154","1","creó_método","Error: firma duplicada al crear método en 'ProductoFisico'","2025-03-11 04:32:51.000000"
"155","1","creó_atributo","Atributo 'public int codigo' agregado a la clase 'Circulo' en proyecto 1","2025-03-11 04:35:55.000000"
"156","1","modificó_clase","Clase 'ProductoFisico' modificada: se actualizó el modificador de acceso a 'public'","2025-03-11 04:43:40.000000"
"157","1","creó_atributo","Error: tipo de dato no reconocido en atributo de 'ProductoFisico'","2025-03-11 04:50:00.000000"
"158","1","compiló_cpp","Éxito en proyecto 1","2025-03-11 04:55:37.000000"
"159","1","creó_método","Método 'String calcularSalario()' agregado a la clase 'Estudiante' en proyecto 1","2025-03-11 05:02:59.000000"
"160","1","modificó_herencia","Error al modificar herencia: clase base 'Circulo' no compatible","2025-03-11 05:04:30.000000"
"161","1","modificó_clase","Clase 'Cliente' modificada: se actualizó el modificador de acceso a 'private'","2025-03-11 05:11:47.000000"
"162","1","creó_método","Método 'int depositar()' agregado a la clase 'Estudiante' en proyecto 1","2025-03-11 05:17:06.000000"
"163","1","modificó_herencia","Error al modificar herencia: clase base 'Estudiante' no compatible","2025-03-11 05:24:16.000000"
"164","1","cerró_sesión_inactividad","El sistema cerró la sesión por 10 min sin actividad. Usuario 1 en proyecto 1","2025-03-11 05:25:07.000000"
"165","2","abrió_sesión","Usuario 2 inició sesión y abrió el proyecto 2","2025-03-03 22:19:00.000000"
"166","2","creó_clase","Clase 'Figura' creada en el diagrama (java). Archivo generado en codigos_fuenteusuario_2proyecto_2Figura.java","2025-03-03 22:24:42.000000"
"167","2","guardó_código","Archivo: codigos_fuenteusuario_2proyecto_2Figura.java","2025-03-03 22:31:30.000000"
"168","2","guardó_código","Archivo: codigos_fuenteusuario_2proyecto_2Figura.java","2025-03-03 22:32:50.000000"
"169","2","modificó_atributo","Atributo 'kilometraje' de clase 'Figura' modificado: tipo cambiado a 'String'","2025-03-03 22:39:50.000000"
"170","2","creó_método","Método 'int getPrecio()' agregado a la clase 'Figura' en proyecto 2","2025-03-03 22:42:06.000000"
"171","2","creó_clase","Clase 'Persona' creada en el diagrama (java). Archivo generado en codigos_fuenteusuario_2proyecto_2Persona.java","2025-03-03 22:47:56.000000"
"172","2","compiló_java","Éxito en proyecto 2","2025-03-03 22:50:14.000000"
"173","2","eliminó_método","Método 'inicializar()' eliminado de la clase 'Figura'","2025-03-03 22:52:59.000000"
"174","2","creó_atributo","Atributo 'protected char codigo' agregado a la clase 'Persona' en proyecto 2","2025-03-03 22:59:07.000000"
"175","2","modificó_atributo","Atributo 'peso' de clase 'Persona' modificado: tipo cambiado a 'boolean'","2025-03-03 23:00:18.000000"
"176","2","compiló_java","Fallo en proyecto 2. error: cannot find symbol: variable modelo","2025-03-03 23:02:08.000000"
"177","2","guardó_código","Archivo: codigos_fuenteusuario_2proyecto_2Figura.java","2025-03-03 23:04:40.000000"
"178","2","estableció_herencia","Relación de herencia creada: 'Figura' extiende a 'Persona' en proyecto 2","2025-03-03 23:06:38.000000"
"179","2","modificó_atributo","Atributo 'precio' de clase 'Figura' modificado: tipo cambiado a 'String'","2025-03-03 23:11:50.000000"
"180","2","modificó_método","Método 'calcularArea()' de clase 'Persona': cuerpo actualizado en editor Monaco","2025-03-03 23:12:58.000000"
"181","2","creó_atributo","Atributo 'private int kilometraje' agregado a la clase 'Persona' en proyecto 2","2025-03-03 23:14:48.000000"
"182","2","cerró_sesión_inactividad","El sistema cerró la sesión por 10 min sin actividad. Usuario 2 en proyecto 2","2025-03-03 23:15:19.000000"
"183","2","abrió_sesión","Usuario 2 inició sesión y abrió el proyecto 2","2025-03-12 20:42:00.000000"
"184","2","creó_método","Método 'String obtenerInfo()' agregado a la clase 'Figura' en proyecto 2","2025-03-12 20:49:26.000000"
"185","2","compiló_java","Fallo en proyecto 2. error: incompatible types: String cannot be converted to int","2025-03-12 20:56:25.000000"
"186","2","creó_atributo","Error: tipo de dato no reconocido en atributo de 'Figura'","2025-03-12 21:01:36.000000"
"187","2","compiló_java","Éxito en proyecto 2","2025-03-12 21:02:24.000000"
"188","2","creó_atributo","Atributo 'protected int precio' agregado a la clase 'Persona' en proyecto 2","2025-03-12 21:06:46.000000"
"189","2","compiló_java","Éxito en proyecto 2","2025-03-12 21:08:01.000000"
"190","2","compiló_java","Éxito en proyecto 2","2025-03-12 21:11:12.000000"
"191","2","creó_atributo","Atributo 'protected float matricula' agregado a la clase 'Persona' en proyecto 2","2025-03-12 21:13:51.000000"
"192","2","compiló_java","Fallo en proyecto 2. error: class, interface, or enum expected","2025-03-12 21:17:06.000000"
"193","2","compiló_java","Éxito en proyecto 2","2025-03-12 21:18:35.000000"
"194","2","eliminó_método","Método 'caminar()' eliminado de la clase 'Persona'","2025-03-12 21:25:40.000000"
"195","2","eliminó_herencia","Relación de herencia eliminada entre 'Figura' y 'Persona'","2025-03-12 21:29:36.000000"
"196","2","modificó_clase","Error al modificar clase 'Figura': nombre inválido","2025-03-12 21:37:28.000000"
"197","2","compiló_java","Fallo en proyecto 2. error: incompatible types: String cannot be converted to int","2025-03-12 21:42:21.000000"
"198","2","creó_clase","Clase 'Auto' creada en el diagrama (java). Archivo generado en codigos_fuenteusuario_2proyecto_2Auto.java","2025-03-12 21:49:53.000000"
"199","2","estableció_herencia","Error: herencia circular detectada entre 'Auto' y 'Figura'","2025-03-12 21:50:23.000000"
"200","2","creó_atributo","Atributo 'protected int anio' agregado a la clase 'Persona' en proyecto 2","2025-03-12 21:56:29.000000"
"201","2","compiló_java","Éxito en proyecto 2","2025-03-12 22:04:24.000000"
"202","2","creó_método","Error: firma duplicada al crear método en 'Persona'","2025-03-12 22:09:31.000000"
"203","2","compiló_java","Éxito en proyecto 2","2025-03-12 22:13:57.000000"
"204","2","guardó_código","Archivo: codigos_fuenteusuario_2proyecto_2Figura.java","2025-03-12 22:17:58.000000"
"205","2","compiló_java","Fallo en proyecto 2. error: cannot find symbol: variable peso","2025-03-12 22:18:55.000000"
"206","2","modificó_método","Método 'retirar()' de clase 'Auto': cuerpo actualizado en editor Monaco","2025-03-12 22:21:01.000000"
"207","2","guardó_código","Archivo: codigos_fuenteusuario_2proyecto_2Auto.java","2025-03-12 22:25:56.000000"
"208","2","creó_clase","Clase 'Poligono' creada en el diagrama (java). Archivo generado en codigos_fuenteusuario_2proyecto_2Poligono.java","2025-03-12 22:29:31.000000"
"209","2","creó_atributo","Atributo 'public float departamento' agregado a la clase 'Auto' en proyecto 2","2025-03-12 22:35:19.000000"
"210","2","modificó_clase","Clase 'Persona' modificada: se actualizó el modificador de acceso a 'private'","2025-03-12 22:42:16.000000"
"211","2","modificó_atributo","Atributo 'tasa' de clase 'Persona' modificado: tipo cambiado a 'float'","2025-03-12 22:47:01.000000"
"212","2","modificó_atributo","Atributo 'salario' de clase 'Auto' modificado: tipo cambiado a 'double'","2025-03-12 22:52:51.000000"
"213","2","creó_clase","Error al crear clase 'Circulo': nombre duplicado en proyecto 2","2025-03-12 22:57:07.000000"
"214","2","creó_método","Método 'double acelerar()' agregado a la clase 'Auto' en proyecto 2","2025-03-12 23:04:06.000000"
"215","2","guardó_código","Archivo: codigos_fuenteusuario_2proyecto_2Auto.java","2025-03-12 23:05:02.000000"
"216","2","compiló_java","Éxito en proyecto 2","2025-03-12 23:07:16.000000"
"217","2","creó_método","Método 'String setPrecio()' agregado a la clase 'Poligono' en proyecto 2","2025-03-12 23:10:02.000000"
"218","2","estableció_herencia","Relación de herencia creada: 'Persona' extiende a 'Poligono' en proyecto 2","2025-03-12 23:15:13.000000"
"219","2","estableció_herencia","Relación de herencia creada: 'Persona' extiende a 'Poligono' en proyecto 2","2025-03-12 23:16:50.000000"
"220","2","creó_método","Método 'int setEdad()' agregado a la clase 'Persona' en proyecto 2","2025-03-12 23:19:47.000000"
"221","2","eliminó_clase","Clase 'Persona' eliminada del diagrama. Archivo físico removido del proyecto 2","2025-03-12 23:24:01.000000"
"222","2","creó_método","Método 'void calcularSalario()' agregado a la clase 'Poligono' en proyecto 2","2025-03-12 23:32:01.000000"
"223","2","creó_atributo","Atributo 'public double codigo' agregado a la clase 'Poligono' en proyecto 2","2025-03-12 23:38:28.000000"
"224","2","guardó_código","Archivo: codigos_fuenteusuario_2proyecto_2Auto.java","2025-03-12 23:43:06.000000"
"225","2","eliminó_atributo","Atributo 'radio' eliminado de la clase 'Figura'","2025-03-12 23:44:38.000000"
"226","2","modificó_atributo","Atributo 'velocidad' de clase 'Poligono' modificado: tipo cambiado a 'double'","2025-03-12 23:45:22.000000"
"227","2","estableció_herencia","Error: herencia circular detectada entre 'Poligono' y 'Auto'","2025-03-12 23:51:14.000000"
"228","2","estableció_herencia","Error: herencia circular detectada entre 'Auto' y 'Figura'","2025-03-12 23:56:55.000000"
"229","2","modificó_método","Método 'validar()' de clase 'Poligono': cuerpo actualizado en editor Monaco","2025-03-13 00:04:14.000000"
"230","2","creó_clase","Clase 'Circulo' creada en el diagrama (java). Archivo generado en codigos_fuenteusuario_2proyecto_2Circulo.java","2025-03-13 00:06:46.000000"
